"Species","Common","IUIS Allergen","Type","Group","Length","GI#","First Version"
"Daucus carota","Carrot","Dau c 1.0104","Food Plant","Daucus Dau c 1","154","2154734","7"
"Daucus carota","Carrot","Dau c 1.0201","Food Plant","Daucus Dau c 1","154","18652047","7"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","19912791","7"
"Daucus carota","Carrot","Dau c 1.0105","Food Plant","Daucus Dau c 1","154","8928058","9"
"Daucus carota","Carrot","Dau c 1.0301","Food Plant","Daucus Dau c 1","154","302379147","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379149","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379151","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379153","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379155","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379157","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 1","154","302379159","12"
"Daucus carota","Carrot","Unassigned","Food Plant","Daucus Dau c 4","134","47606043","10"
"Anacardium occidentale","Cashew","Ana o 1","Food Plant","Anacardium Ana o 1","536","21666498","7"
"Anacardium occidentale","Cashew","Ana o 1","Food Plant","Anacardium Ana o 1","538","21914823","7"
"Anacardium occidentale","Cashew","Ana o 2","Food Plant","Anacardium Ana o 2","457","25991543","7"
"Anacardium occidentale","Cashew","Ana o 3","Food Plant","Anacardium Ana o 3","138","24473800","7"
"Ricinus communis","Castor bean","Ric c 1","Food Plant","Ricinus Ric c 1","258","112762","7"
"Felis catus","Cat","Fel d 1","Aero Animal","Felis Fel d 1 Chain 1","88","1364212","7"
"Felis catus","Cat","Fel d 1","Aero Animal","Felis Fel d 1 Chain 1","92","1364213","7"
"Felis catus","Cat","Fel d 1","Aero Animal","Felis Fel d 1 Chain 1","92","1169665","7"
"Felis catus","Cat","Fel d 1","Aero Animal","Felis Fel d 1 Chain 1","92","163825","7"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 1 Chain 1","88","114326420","8"
"Felis catus","Cat","Fel d 1","Aero Animal","Felis Fel d 1 chain 2","109","232086","7"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 1 chain 2","107","395407","8"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 2","608","1351908","9"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 3","98","47605720","9"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 4","186","75062228","8"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 7 von Ebner gland protein","180","301072397","12"
"Felis catus","Cat","Unassigned","Aero Animal","Felis Fel d 8 latherin-like","228","303387468","12"
"Juniperus rigida","Cedar","Unassigned","Aero Plant","Juniperus Jun a 3","225","38456224","7"
"Juniperus rigida","Cedar","Unassigned","Aero Plant","Juniperus Jun a 3","225","38456222","7"
"Apium graveolens","Celery","Api g 1.0101","Food Plant","Apium Api g 1","154","1346568","7"
"Apium graveolens","Celery","Api g 1.0201","Food Plant","Apium Api g 1","159","14423646","9"
"Apium graveolens","Celery","Api g 2.0101","Food Plant","Apium Api g 2","118","256600126","12"
"Apium graveolens","Celery","Api g 4","Food Plant","Apium Api g 4","134","4761578","7"
"Apium graveolens","Celery","Unassigned","Food Plant","Apium Api g 5","22","33300921","7"
"Apium graveolens","Celery","Unassigned","Food Plant","Apium Api g 5","30","32363124","7"
"Apium graveolens","Celery","Unassigned","Food Plant","Apium Api g 5","24","32363125","7"
"Apium graveolens","Celery","Unassigned","Food Plant","Apium Api g 5","10","32363126","7"
"Prunus avium","Cherry","Pru av 1","Food Plant","Prunus PRP (Bet v 1 family)","160","1513216","7"
"Prunus avium","Cherry","Pru av 1","Food Plant","Prunus PRP (Bet v 1 family)","160","44409496","7"
"Prunus avium","Cherry","Pru av 1","Food Plant","Prunus PRP (Bet v 1 family)","160","44409474","7"
"Prunus avium","Cherry","Pru av 1","Food Plant","Prunus PRP (Bet v 1 family)","160","44409451","7"
"Prunus avium","Cherry","Unassigned","Food Plant","Prunus PRP (Bet v 1 family)","159","159162378","9"
"Prunus avium","Cherry","Pru av 3","Food Plant","Prunus Pru 3","117","6715520","7"
"Prunus avium","Cherry","Unassigned","Food Plant","Prunus Pru 3","117","313575726","12"
"Prunus avium","Cherry","Unassigned","Food Plant","Prunus Pru 3","117","313575728","12"
"Prunus avium","Cherry","Pru av 4","Food Plant","Prunus Pru 4 Profilin","131","4761582","7"
"Prunus avium","Cherry","Pru av 2","Food Plant","Prunus Pru av 2","245","1144346","7"
"Gallus gallus","Chicken","Gal d 1","Food Animal","Gallus Gal d 1","210","124757","7"
"Gallus gallus","Chicken","Unassigned","Food Animal","Gallus Gal d 1","208","162952006","9"
"Gallus gallus","Chicken","Unassigned","Food Animal","Gallus Gal d 1","210","209979542","10"
"Gallus gallus","Chicken","Gal d 2","Food Animal","Gallus Gal d 2","155","63052","7"
"Gallus gallus","Chicken","Gal d 2","Food Animal","Gallus Gal d 2","386","129293","7"
"Gallus gallus","Chicken","Gal d 2","Food Animal","Gallus Gal d 2","386","808969","7"
"Gallus gallus","Chicken","Gal d 2","Food Animal","Gallus Gal d 2","385","15826578","7"
"Gallus gallus","Chicken","Unassigned","Food Animal","Gallus Gal d 2","385","34811333","7"
"Gallus gallus","Chicken","Gal d 3","Food Animal","Gallus Gal d 3","705","757851","7"
"Gallus gallus","Chicken","Gal d 3","Food Animal","Gallus Gal d 3","705","1351295","7"
"Gallus gallus","Chicken","Gal d 4","Food Animal","Gallus Gal d 4","147","126608","7"
"Gallus gallus","Chicken","Gal d 4","Food Animal","Gallus Gal d 4","24","212279","7"
"Gallus gallus","Chicken","Unassigned","Food Animal","Gallus Gal d 5","615","113575","9"
"Gallus gallus","Chicken","Unassigned","Food Animal","Gallus parvalbumin","110","225877920","10"
"Ziziphus mauritiana","Chinese-date","Unassigned","Food Plant","Ziziphus Ziz m 1","330","61225281","7"
"Scomber japonicus","Chub mackerel","Unassigned","Food Animal","Scomber Parvalbumin","109","29420793","7"
"Amaranthus retroflexus","Common Amaranth","Unassigned","Aero Plant","Amaranthus Ama r 2 Proflin","133","227937304","10"
"Phleum pratense","Common timothy","Phl p 1.0101","Aero Plant","Phleum Phl p 1","263","3901094","7"
"Phleum pratense","Common timothy","Phl p 1","Aero Plant","Phleum Phl p 1","241","28373838","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 1","240","45823012","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 1","263","1171008","9"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 1","262","1582250","10"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 11","143","47606039","9"
"Phleum pratense","Common timothy","Phl p 12","Aero Plant","Phleum Phl p 12","131","464471","7"
"Phleum pratense","Common timothy","Phl p 12","Aero Plant","Phleum Phl p 12","131","2415700","7"
"Phleum pratense","Common timothy","Phl p 12","Aero Plant","Phleum Phl p 12","131","2415702","7"
"Phleum pratense","Common timothy","Phl p 13","Aero Plant","Phleum Phl p 13","394","4826572","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 2","122","1171009","8"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","525","82492267","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","508","54144332","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","45108973","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","45108967","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","189014266","10"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","189014268","10"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","189014270","10"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 4","500","189014272","10"
"Phleum pratense","Common timothy","Phl p 5.0101","Aero Plant","Phleum Phl p 5","312","398830","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","257","422005","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","280","481397","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","24","75139900","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","285","1092249","7"
"Phleum pratense","Common timothy","Phl p 5.0202","Aero Plant","Phleum Phl p 5","281","1684718","7"
"Phleum pratense","Common timothy","Phl p 5.0104","Aero Plant","Phleum Phl p 5","276","1684720","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","286","2398757","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","284","2851457","7"
"Phleum pratense","Common timothy","Phl p 5.0105","Aero Plant","Phleum Phl p 5","276","3135497","7"
"Phleum pratense","Common timothy","Phl p 5.0106","Aero Plant","Phleum Phl p 5","276","3135499","7"
"Phleum pratense","Common timothy","Phl p 5.0107","Aero Plant","Phleum Phl p 5","276","3135501","7"
"Phleum pratense","Common timothy","Phl p 5.0108","Aero Plant","Phleum Phl p 5","276","3135503","7"
"Phleum pratense","Common timothy","Phl p 5.0103","Aero Plant","Phleum Phl p 5","312","3309039","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","295","3309041","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","290","3309045","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","3309047","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","275","13430402","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725606","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725608","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725610","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725612","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725614","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725616","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725618","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725620","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725622","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725624","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725626","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725628","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725630","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","287","21725632","7"
"Phleum pratense","Common timothy","Phl p 5","Aero Plant","Phleum Phl p 5","102","28948464","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 5","284","29500897","7"
"Phleum pratense","Common timothy","Phl p 6","Aero Plant","Phleum Phl p 6","138","3004465","7"
"Phleum pratense","Common timothy","Phl p 6","Aero Plant","Phleum Phl p 6","138","3004467","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 6","106","3004469","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 6","111","28374072","7"
"Phleum pratense","Common timothy","Unassigned","Aero Plant","Phleum Phl p 7","78","14423846","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","263","89892721","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","252","89892723","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","99","105969543","8"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","269","105969545","8"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","270","115502167","9"
"Zea mays","Corn","Unassigned","Aero Plant","Zea m 1 isoform","269","115502168","9"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","2642324","7"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644952","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644954","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644956","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644958","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644960","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","131","110644962","8"
"Zea mays","Corn","Unassigned","Food Plant","Zea profilin","130","110644964","8"
"Zea mays","Corn","Unassigned","Aero Plant","Zea putative Zea m 13?","410","89892725","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea putative Zea m 13?","404","89892727","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea putative Zea m 13?","411","89892729","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m 13","170","1588669","7"
"Zea mays","Corn","Zea m 14","Food Plant","Zea Zea m 14","120","128388","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m 25  thioredoxin","128","66841002","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m1","269","28630919","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m1","269","28630923","7"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m1","269","14193761","8"
"Zea mays","Corn","Unassigned","Aero Plant","Zea Zea m1","245","114794319","8"
"Charybdis feriatus","Crab","Cha f 1","Food Animal","Charybdis Cha f 1","264","14285800","9"
"Phoenix dactylifera","Date palm","Pho d 2","Aero Plant","Phoenix Pho d 2","131","21322677","7"
"Haliotis discus discus","Disk abalone","Unassigned","Food Animal","Haliotis Hal m 1 tropomyosin","284","219806586","10"
"Haliotis discus discus","Disk abalone","Unassigned","Food Animal","Haliotis paramyosin","860","318609972","12"
"Canis familiaris","Dog","Can f 1","Aero Animal","Canis Can f 1","174","3121745","7"
"Canis familiaris","Dog","Can f 2","Aero Animal","Canis Can f 2","180","3121746","7"
"Canis familiaris","Dog","Can f 2","Aero Animal","Canis Can f 2","177","29292272","7"
"Canis familiaris","Dog","Can f 2","Aero Animal","Canis Can f 2","179","29292274","7"
"Canis familiaris","Dog","Can f 3","Aero Animal","Canis Can f 3","265","633938","7"
"Canis familiaris","Dog","Can f 3","Aero Animal","Canis Can f 3","585","3319897","7"
"Canis familiaris","Dog","Can f 3","Aero Animal","Canis Can f 3","608","6687188","7"
"Canis familiaris","Dog","Unassigned","Aero Animal","Canis Can f epithelial 18 kDa","174","262232390","12"
"Cavia porcellus","Domestic guinea pig","Cav p 1","Aero Animal","Cavia Cav p 1","15","32469617","7"
"Cavia porcellus","Domestic guinea pig","Unassigned","Aero Animal","Cavia Cav p 2","170","325910590","12"
"Cavia porcellus","Domestic guinea pig","Unassigned","Aero Animal","Cavia Cav p 3 lipocalin","170","325910592","12"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 10 tropomyosin","284","148615631","9"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 10 tropomyosin","201","156938915","9"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 10 tropomyosin","284","48249227","9"
"Tyrophagus putrescentiae","Dust mite","Tyr p 13","Aero Mite","Tyrophagus Tyr p 13","131","51860756","7"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 13","130","121296500","9"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 13","131","156938917","9"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 2","141","3182907","9"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 24 Troponin C","153","219815476","11"
"Tyrophagus putrescentiae","Dust mite","Unassigned","Aero Mite","Tyrophagus Tyr p 3","285","167540622","11"
"Crassostrea virginica","Eastern oyster","Unassigned","Food Animal","Crassostrea Tropomyosin","160","3668408","7"
"Juglans regia","English walnut","Jug r 1","Food Plant","Juglans Jug r 1","139","1794252","7"
"Juglans regia","English walnut","Jug r 2","Food Plant","Juglans Jug r 2","593","6580762","7"
"Juglans regia","English walnut","Unassigned","Food Plant","Juglans Jug r 3","119","209484145","11"
"Juglans regia","English walnut","Unassigned","Food Plant","Juglans Jug r 4 seed storage protein","507","56788031","7"
"Fraxinus excelsior","European ash","Fra e 1","Aero Plant","Fraxinus Fra e 1","146","34978692","7"
"Fraxinus excelsior","European ash","Fra e 1","Aero Plant","Fraxinus Fra e 1","145","56122438","7"
"Fraxinus excelsior","European ash","Fra e 1","Aero Plant","Fraxinus Fra e 1","145","33327133","7"
"Fagus sylvatica","European Beech","Unassigned","Aero Plant","Fagus Fag s 1","160","212291472","10"
"Fagus sylvatica","European Beech","Fag s 1","Aero Plant","Fagus Fag s 1","160","212291470","10"
"Fagus sylvatica","European Beech","Unassigned","Aero Plant","Fagus Fag s 1","160","212291474","10"
"Castanea sativa","European chestnut","Cas s 1","Aero Plant","Castanea Cas s 1","160","16555781","7"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 1","159","212291466","10"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 1","159","212291464","10"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 1","159","212291468","10"
"Castanea sativa","European chestnut","Unassigned","Aero Plant","Castanea Cas s 5","298","307159110","12"
"Castanea sativa","European chestnut","Cas s 5","Food Plant","Castanea Cas s 5","316","1359600","7"
"Corylus avellana","European hazelnut","Cor a 1.0103","Aero Plant","Corylus Cor a 1","160","22684","7"
"Corylus avellana","European hazelnut","Cor a 1.0104","Aero Plant","Corylus Cor a 1","160","22686","7"
"Corylus avellana","European hazelnut","Cor a 1.0102","Aero Plant","Corylus Cor a 1","160","22690","7"
"Corylus avellana","European hazelnut","Cor a 1.0201","Aero Plant","Corylus Cor a 1","160","1321731","7"
"Corylus avellana","European hazelnut","Cor a 1.0301","Aero Plant","Corylus Cor a 1","160","1321733","7"
"Corylus avellana","European hazelnut","Cor a I","Aero Plant","Corylus Cor a 1","160","584968","7"
"Corylus avellana","European hazelnut","Cor a 1.0401","Food Plant","Corylus Cor a 1","161","5726304","7"
"Corylus avellana","European hazelnut","Cor a 1.0402","Food Plant","Corylus Cor a 1","161","11762102","7"
"Corylus avellana","European hazelnut","Cor a 1.0403","Food Plant","Corylus Cor a 1","161","11762104","7"
"Corylus avellana","European hazelnut","Cor a 1.0404","Food Plant","Corylus Cor a 1","161","11762106","7"
"Corylus avellana","European hazelnut","Cor a 10","Aero Plant","Corylus Cor a 10","668","10944737","7"
"Corylus avellana","European hazelnut","Cor a  11","Food Plant","Corylus Cor a 11","448","19338630","7"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Cor a 14 2S albumin","147","226437844","11"
"Corylus avellana","European hazelnut","Cor a 2","Aero Plant","Corylus Cor a 2","131","12659206","7"
"Corylus avellana","European hazelnut","Cor a 2","Aero Plant","Corylus Cor a 2","131","12659208","7"
"Corylus avellana","European hazelnut","Cor a 8","Food Plant","Corylus Cor a 8","115","13507262","7"
"Corylus avellana","European hazelnut","Cor a 9","Food Plant","Corylus Cor a 9","515","18479082","7"
"Corylus avellana","European hazelnut","Unassigned","Food Plant","Corylus Oleosin","140","29170509","7"
"Vespa crabro","European hornet","Vesp c 5","Venom or Salivary","Vespa Venom allergen 5 hornets","202","549184","7"
"Vespa crabro","European hornet","Vesp c 5","Venom or Salivary","Vespa Venom allergen 5 hornets","202","549185","7"
"Vespa crabro","European hornet","Unassigned","Venom or Salivary","Vespa Vesp c 1 phospholipase","301","313471397","12"
"Argas reflexus","European pigeon tick","Arg r 1","Venom or Salivary","Argas Arg r 1","159","58371884","7"
"Argas reflexus","European pigeon tick","Unassigned","Venom or Salivary","Argas Arg r 1","144","322812205","12"
"Betula pendula","European white birch","Bet v 2","Aero Plant","Bet v 2","133","130975","7"
"Betula pendula","European white birch","Unassigned","Aero Plant","Bet v 2","133","157830684","9"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","51","320545","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","534898","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","534900","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","534910","7"
"Betula pendula","European white birch","Bet v 1.0301","Aero Plant","Betula Bet v 1","160","1168702","7"
"Betula pendula","European white birch","Bet v 1.1001","Aero Plant","Betula Bet v 1","160","1168709","7"
"Betula pendula","European white birch","Bet v 1.1601","Aero Plant","Betula Bet v 1","160","1321714","7"
"Betula pendula","European white birch","Bet v 1.1701","Aero Plant","Betula Bet v 1","160","1321716","7"
"Betula pendula","European white birch","Bet v 1.1801","Aero Plant","Betula Bet v 1","160","1321718","7"
"Betula pendula","European white birch","Bet v 1.1502","Aero Plant","Betula Bet v 1","160","1321720","7"
"Betula pendula","European white birch","Bet v 1.1901","Aero Plant","Betula Bet v 1","160","1321722","7"
"Betula pendula","European white birch","Bet v 1.2001","Aero Plant","Betula Bet v 1","160","1321724","7"
"Betula pendula","European white birch","Bet v 1.2101","Aero Plant","Betula Bet v 1","160","1321726","7"
"Betula pendula","European white birch","Bet v 1.2201","Aero Plant","Betula Bet v 1","160","1321728","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","1168703","7"
"Betula pendula","European white birch","Bet v 1.0501","Aero Plant","Betula Bet v 1","160","1168704","7"
"Betula pendula","European white birch","Bet v 1f/I","Aero Plant","Betula Bet v 1","160","1168705","7"
"Betula pendula","European white birch","Bet v 1.0801","Aero Plant","Betula Bet v 1","160","1168707","7"
"Betula pendula","European white birch","Bet v 1.0901","Aero Plant","Betula Bet v 1","160","1168708","7"
"Betula pendula","European white birch","Bet v 1m/n","Aero Plant","Betula Bet v 1","160","1168710","7"
"Betula pendula","European white birch","Bet v 1.0201","Aero Plant","Betula Bet v 1","160","1168701","7"
"Betula pendula","European white birch","Bet v 1.2401","Aero Plant","Betula Bet v 1","160","1542861","7"
"Betula pendula","European white birch","Bet v 1.2501","Aero Plant","Betula Bet v 1","160","1542863","7"
"Betula pendula","European white birch","Bet v 1.2601","Aero Plant","Betula Bet v 1","160","1542865","7"
"Betula pendula","European white birch","Bet v 1.2701","Aero Plant","Betula Bet v 1","160","1542867","7"
"Betula pendula","European white birch","Bet v 1.2801","Aero Plant","Betula Bet v 1","160","1542869","7"
"Betula pendula","European white birch","Bet v 1.2901","Aero Plant","Betula Bet v 1","160","1542871","7"
"Betula pendula","European white birch","Bet v 1.3001","Aero Plant","Betula Bet v 1","160","1542873","7"
"Betula pendula","European white birch","Bet v 1.2301","Aero Plant","Betula Bet v 1","160","2414158","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","2564220","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","2564222","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","2564224","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","2564228","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006928","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006945","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006953","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006955","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006957","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006959","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006961","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006965","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","4006967","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","4376216","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","4376219","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","4376220","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","4376221","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","4376222","7"
"Betula pendula","European white birch","Bet v 1 b1","Aero Plant","Betula Bet v 1","160","4590392","7"
"Betula pendula","European white birch","Bet v 1 b2","Aero Plant","Betula Bet v 1","160","4590394","7"
"Betula pendula","European white birch","bet v 1 b3","Aero Plant","Betula Bet v 1","160","4590396","7"
"Betula pendula","European white birch","Bet v 1.0701","Aero Plant","Betula Bet v 1","160","1168706","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","11514622","7"
"Betula pendula","European white birch","Bet v 1x","Aero Plant","Betula Bet v 1","21","30908931","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","38492423","7"
"Betula pendula","European white birch","Unassigned","Aero Plant","Betula Bet v 1","43","239734","7"
"Betula pendula","European white birch","Unassigned","Aero Plant","Betula Bet v 1","120","4006963","7"
"Betula pendula","European white birch","Unassigned","Aero Plant","Betula Bet v 1","120","4006947","7"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","160","114922","8"
"Betula pendula","European white birch","Bet v 1","Aero Plant","Betula Bet v 1","159","159162097","9"
"Betula pendula","European white birch","Unassigned","Aero Plant","Betula Bet v 1b","51","320546","7"
"Betula pendula","European white birch","Bet v 3","Aero Plant","Betula Bet v 3","205","1168696","7"
"Betula pendula","European white birch","Bet v 4","Aero Plant","Betula Bet v 4","85","14423850","7"
"Betula pendula","European white birch","Bet v 6.0102","Aero Plant","Betula Bet v 6","308","10764491","7"
"Betula pendula","European white birch","Bet v 7","Aero Plant","Betula Bet v 7","173","21886603","7"
"Rana esculenta","Frog","Ran e 1","Food Animal","Rana Ran e 1","110","20796729","7"
"Rana esculenta","Frog","Ran e 2","Food Animal","Rana Ran e 2","109","20797081","7"
"Rana sp. CH-2001","Frog","Unassigned","Food Animal","Rana Ran e 1","110","20796733","7"
"Rana sp. CH-2001","Frog","Unassigned","Food Animal","Rana Ran e 2","109","20797085","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria ADH Alta a 10","497","76666767","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a 13","231","74611808","10"
"Alternaria alternata","Fungus","Alt a 1","Aero Fungi","Alternaria Alt a I","157","1842045","7"
"Alternaria alternata","Fungus","Alt a 1","Aero Fungi","Alternaria Alt a I","115","21913174","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria Alt a I","157","45680856","7"
"Alternaria alternata","Fungus","Alt a 6","Aero Fungi","Alternaria enolase Alt a 6","438","14423684","7"
"Alternaria alternata","Fungus","Unassigned","Aero Fungi","Alternaria flavodoxin Alt a 7","204","1168402","9"
